Id,Name,Birth Date,City,State,Group,Gender,Status,Year,Death Mission,Death Date,Space Flight (hr),Space Flights,Space Walks (hr),Space Walks,Military Rank,Military Branch
1,Joseph M. Acaba,5/17/1967,Inglewood, CA,19,Male,Active,2004,,,3307,2,13,2,,
2,Loren W. Acton,3/7/1936,Lewiston, MT,,Male,Retired,,,,190,1,0,0,,
3,James C. Adamson,3/3/1946,Warsaw, NY,10,Male,Retired,1984,,,334,2,0,0,Colonel,US Army (Retired)
4,Thomas D. Akers,5/20/1951,St. Louis, MO,12,Male,Retired,1987,,,814,4,29,4,Colonel,US Air Force (Retired)
5,Buzz Aldrin,1/20/1930,Montclair, NJ,3,Male,Retired,1963,,,289,2,8,2,Colonel,US Air Force (Retired)
6,Andrew M. Allen,8/4/1955,Philadelphia, PA,12,Male,Retired,1987,,,906,3,0,0,Lieutenant Colonel,US Marine Corps (Retired)
7,Joseph P. Allen,6/27/1937,Crawsfordsville, IN,6,Male,Retired,1967,,,313,2,12,2,,
8,Scott D. Altman,8/15/1959,Lincoln, IL,15,Male,Retired,1995,,,1236,4,0,0,Captain,US Navy (Retired)
9,William A. Anders,10/17/1933,Hong Kong,NA,3,Male,Retired,1963,,,147,1,0,0,Major General,US Air Force Reserves (Retired)
10,Clayton C. Anderson,2/23/1959,Omaha, NE,17,Male,Retired,1998,,,4005,2,38,6,,
11,Michael P. Anderson,12/25/1959,Plattsburgh, NY,15,Male,Deceased,1995,STS-107 (Columbia),2/1/2003,594,2,0,0,Lieutenant Colonel,US Air Force
12,Dominic A. Antonelli,8/23/1967,Detroit, MI,18,Male,Active,2000,,,579,2,0,0,Commander,US Navy
13,Jerome Apt III ,4/18/1949,Springfield, MA,11,Male,Retired,1985,,,847,4,11,2,,
14,Lee J. Archambault,8/25/1960,Oak Park, IL,17,Male,Retired,1998,,,639,2,0,0,Colonel,US Air Force
15,Neil A. Armstrong,8/5/1930,Wapakoneta, OH,2,Male,Deceased,1962,,8/25/2012,205,2,2,1,,
16,Richard R. Arnold II ,11/26/1963,Cheverly, MD,19,Male,Active,2004,,,307,1,12,2,,
17,Jeffrey S. Ashby,6/1/1954,Dallas, TX,15,Male,Retired,1995,,,655,3,0,0,Captain,US Navy (Retired)
18,Serena M. Aunon,4/9/1976,Indianapolis, IN,20,Female,Active,2009,,,0,0,0,0,,
19,James P. Bagian,2/22/1952,Philadelphia, PA,9,Male,Retired,1980,,,337,2,0,0,,
20,Ellen S. Baker,4/27/1953,Fayettesville, NC,10,Female,Retired,1984,,,686,3,0,0,,
21,Michael A. Baker,10/27/1953,Memphis, TN,11,Male,Management,1985,,,965,4,0,0,Captain,US Navy (Retired)
22,Michael R. Barratt,4/16/1959,Vancouver, WA,18,Male,Active,2000,,,5075,2,5,1,,
23,Daniel T. Barry,12/30/1953,Norwalk, CT,14,Male,Retired,1992,,,733,3,26,4,,
24,John-David F. Bartoe,11/17/1944,Abington, PA,,Male,Retired,,,,190,1,0,0,,
25,Charles A. Bassett II ,12/30/1931,Dayton, OH,3,Male,Deceased,1963,,2/28/1966,0,0,0,0,Captain,US Air Force
26,Alan L. Bean,3/15/1932,Wheeler, TX,3,Male,Retired,1963,,,1671,2,10,3,Captain,US Navy (Retired)
27,Robert L. Behnken,7/28/1970,Creve Couer, MO,18,Male,Active,2000,,,708,2,37,6,Colonel,US Air Force
28,John E. Blaha,8/26/1942,San Antonio, TX,9,Male,Retired,1980,,,3861,5,0,0,Colonel,US Air Force (Retired)
29,Michael J. Bloomfield,3/16/1959,Flint, MI,15,Male,Retired,1995,,,779,3,0,0,Colonel,US Air Force (Retired)
30,Guion S. Bluford Jr. ,11/22/1942,Philadelphia, PA,8,Male,Retired,1978,,,689,4,0,0,Colonel,US Air Force (Retired)
31,Karol J. Bobko,12/23/1937,New York, NY,7,Male,Retired,1969,,,386,3,0,0,Colonel,US Air Force (Retired)
32,Eric A. Boe,10/1/1964,Miami, FL,18,Male,Active,2000,,,687,2,0,0,Colonel,US Air Force
33,Charles F. Bolden Jr. ,8/19/1946,Columbia, SC,9,Male,Management,1980,,,680,4,0,0,Major General,US Marine Corps (Retired)
34,Frank Borman,3/14/1928,Gary, IN,2,Male,Retired,1962,,,477,2,0,0,Colonel,US Air Force (Retired)
35,Stephen G. Bowen,2/13/1964,Cohasset, MA,18,Male,Active,2000,,,970,3,47,7,Captain,US Navy
36,Kenneth D. Bowersox,11/14/1956,Portsmouth, VA,12,Male,Retired,1987,,,5078,5,13,2,Captain,US Navy (Retired)
37,Charles E. Brady Jr. ,8/12/1951,Pinehurst, NC,14,Male,Deceased,1992,,7/23/2006,405,1,0,0,Captain,US Navy
38,Vance D. Brand,5/9/1931,Longmont, CA,5,Male,Retired,1966,,,752,4,0,0,,US Marine Corps Reserves
39,Daniel C. Brandenstein,1/17/1943,Watertown, WI,8,Male,Retired,1978,,,789,4,0,0,Captain,US Navy (Retired)
40,Randolph J. Bresnik,9/11/1967,Fort Knox, KY,19,Male,Active,2004,,,259,1,12,2,Colonel,US Marine Corps
41,Roy D. Bridges Jr. ,7/19/1943,Atlanta, GA,9,Male,Retired,1980,,,190,1,0,0,Major General,US Air Force (Retired)
42,Curtis L. Brown Jr. ,3/11/1956,Elizabethtown, NC,12,Male,Retired,1987,,,1383,6,0,0,Colonel,US Air Force (Retired)
43,David M. Brown,4/16/1956,Arlington, VA,16,Male,Deceased,1996,STS-107 (Columbia),2/1/2003,382,1,0,0,Captain,US Navy
44,Mark N. Brown,11/18/1951,Valparaiso, IN,10,Male,Retired,1984,,,249,2,0,0,Colonel,US Air Force (Retired)
45,James F. Buchli,6/20/1945,New Rockford, ND,8,Male,Retired,1978,,,490,4,0,0,Colonel,US Marine Corps (Retired)
46,Jay Clark Buckey,6/6/1956,New York, NY,,Male,Retired,,,,381,1,0,0,,
47,John S. Bull,9/25/1934,Memphis, TN,5,Male,Deceased,1966,,8/11/2008,0,0,0,0,,
48,Daniel C. Burbank,7/27/1961,Machester, CT,16,Male,Active,1996,,,4512,3,7,1,Captain,US Coast Guard (Retired)
49,Daniel W. Bursch,7/25/1957,Bristol, PA,13,Male,Retired,1990,,,5446,4,12,2,Captain,US Navy (Retired)
50,Robert D. Cabana,1/23/1949,Minneapolis, MN,11,Male,Management,1985,,,910,4,0,0,Colonel,US Marine Corps (Retired)
51,Yvonne D. Cagle,4/24/1959,West Point, NY,16,Female,Management,1996,,,0,0,0,0,Colonel,US Air Force
52,Fernando Caldeiro,6/12/1958,Buenos Aires, Argentina,16,Male,Deceased,1996,,10/3/2009,0,0,0,0,,
53,Tracy E. Caldwell (Dyson),8/14/1969,Arcadia, CA,17,Female,Active,1998,,,4531,2,23,3,,
54,Charles J. Camarda,5/8/1952,Queens, NY,16,Male,Management,1996,,,333,1,0,0,,
55,Kenneth D. Cameron,11/29/1949,Cleveland, OH,10,Male,Retired,1984,,,562,3,0,0,Colonel,US Marine Corps (Retired)
56,Duane G. Carey,4/30/1957,St. Paul, MN,16,Male,Retired,1996,,,262,1,0,0,Lieutenant Colonel,US Air Force (Retired)
57,M. Scott Carpenter,5/1/1925,Boulder, CO,1,Male,Retired,1959,,,4,1,0,0,Commander,US Navy (Retired)
58,Gerald P. Carr,8/22/1932,Denver, CO,5,Male,Retired,1966,,,2017,1,16,3,Colonel,US Marine Corps (Retired)
59,Manley Lanier Carter Jr. ,8/15/1947,Macon, GA,10,Male,Deceased,1984,,4/5/1991,120,1,0,0,Captain,US Navy
60,John H. Casper,7/9/1943,Greenville, SC,10,Male,Management,1984,,,825,4,0,0,Colonel,US Air Force (Retired)
61,Christopher J. Cassidy,1/4/1970,Salem, MA,19,Male,Active,2004,,,4376,1,31,6,Commander,US Navy
62,Robert Cenker,11/5/1948,Uniontown, PA,,Male,Retired,,,,146,1,0,0,,
63,Eugene A. Cernan,3/14/1934,Chicago, IL,3,Male,Retired,1963,,,566,3,24,4,Captain,US Navy (Retired)
64,Roger B. Chaffee,2/15/1935,Grand Rapids, MI,3,Male,Deceased,1963,Apollo 1,1/27/1967,0,1,0,0,Lieutenant Commander,US Navy
65,Gregory E. Chamitoff,8/6/1962,Montreal, Canada,17,Male,Active,1998,,,4770,2,13,2,,
66,Franklin R. Chang-Diaz,4/5/1950,San Jose, Costa Rica,9,Male,Retired,1980,,,1602,7,19,3,,
67,Philip K. Chapman,3/5/1935,Melbourne, Australia,6,Male,Retired,1967,,,0,0,0,0,,
68,Kalpana Chawla,6/1/1961,Karnal, India,15,Female,Deceased,1995,STS-107 (Columbia),2/1/2003,734,2,0,0,,
69,Leroy Chiao,8/28/1960,Milwaukee, WI,13,Male,Retired,1990,,,5503,4,36,6,,
70,Kevin P. Chilton,3/11/1954,Los Angeles, CA,12,Male,Retired,1987,,,700,3,0,0,Brigadier General,US Air Force (Retired)
71,Laurel B. Clark,3/10/1961,Ames, IA,16,Female,Deceased,1996,STS-107 (Columbia),2/1/2003,382,1,0,0,Captain,US Navy
72,Mary L. Cleave,2/5/1947,Southampton, NY,9,Female,Retired,1980,,,262,2,0,0,,
73,Michael R. Clifford,10/13/1952,San Bernardino, CA,13,Male,Retired,1990,,,666,3,6,1,Lieutenant Colonel,US Army (Retired)
74,Michael L. Coats,1/16/1946,Sacramento, CA,8,Male,Retired,1978,,,463,3,0,0,Captain,US Navy (Retired)
75,Kenneth D. Cockrell,4/9/1950,Austin, TX,13,Male,Management,1990,,,1548,5,0,0,,US Naval Reserves
76,Catherine G. Coleman,12/14/1960,Charleston, SC,14,Female,Active,1992,,,4324,3,0,0,Colonel,US Air Force (Retired)
77,Eileen M. Collins,11/19/1959,Elmira, NY,13,Female,Retired,1990,,,890,4,0,0,Colonel,US Air Force (Retired)
78,Michael Collins,10/31/1930,Rome, Italy,3,Male,Retired,1963,,,266,2,1,1,,US Air Force Reserves
79,Charles Conrad Jr. ,5/2/1930,Philadelphia, PA,2,Male,Deceased,1962,,7/8/1999,1179,4,12,4,Captain,US Navy (Retired)
80,L. Gordon Cooper Jr. ,3/6/1927,Shawnee, OK,1,Male,Deceased,1959,,10/4/2004,225,2,0,0,Colonel,US Air Force (Retired)
81,Richard O. Covey,8/1/1946,Fayetteville, AR,8,Male,Retired,1978,,,645,4,0,0,Colonel,US Air Force (Retired)
82,Timothy J. Creamer,11/15/1959,Ft. Huachuca, AZ,17,Male,Management,1998,,,3917,1,0,0,Colonel,US Army (Retired)
83,John O. Creighton,4/28/1943,Orange, TX,8,Male,Retired,1978,,,404,3,0,0,Captain,US Navy (Retired)
84,Robert L. Crippen,9/11/1937,Beaumont, TX,7,Male,Retired,1969,,,565,4,0,0,Captain,US Navy (Retired)
85,Roger K. Crouch,9/12/1940,Jamestown, TN,,Male,Retired,,,,471,1,0,0,,
86,Frank L. Culbertson Jr. ,5/15/1949,Charleston, SC,10,Male,Retired,1984,,,3446,3,5,1,Captain,US Navy (Retired)
87,Walter Cunningham,3/16/1932,Creston, IA,3,Male,Retired,1963,,,260,1,0,0,Colonel,US Marine Corps Reserves
88,Robert L. Curbeam Jr. ,3/5/1962,Baltimore, MD,15,Male,Retired,1995,,,902,3,45,7,Captain,US Navy (Retired)
89,Nancy J. Currie,12/29/1958,Wilmington, DE,13,Female,Management,1990,,,999,4,0,0,Colonel,US Army (Retired)
90,N. Jan Davis,11/1/1953,Cocoa Beach, FL,12,Female,Retired,1987,,,673,3,0,0,,
91,Lawrence J. Delucas,7/11/1950,Syracuse, NY,,Male,Retired,,,,331,1,0,0,,
92,Alvin B. Drew Jr. ,11/5/1962,Washington, DC,18,Male,Active,2000,,,613,2,13,2,Colonel,US Air Force
93,Brian Duffy,6/20/1953,Boston, MA,11,Male,Retired,1985,,,977,4,0,0,Colonel,US Air Force (Retired)
94,Charles M. Duke Jr. ,10/3/1935,Charlotte, NC,5,Male,Retired,1966,,,265,1,20,3,Brigadier General,US Air Force (Retired)
95,Bonnie J. Dunbar,3/3/1949,Sunnyside, WA,9,Female,Retired,1980,,,1207,5,0,0,,
96,Samuel T. Durrance,9/17/1943,Tallahassee, FL,,Male,Retired,,,,614,2,0,0,,
97,James P. Dutton Jr. ,11/20/1968,Eugene, OR,19,Male,Management,2004,,,362,1,0,0,Colonel,US Air Force
98,Joe F. Edwards Jr. ,2/3/1958,Richmond, VA,15,Male,Retired,1995,,,211,1,0,0,Commander,US Navy (Retired)
99,Donn F. Eisele,5/23/1930,Columbus, OH,3,Male,Deceased,1963,,12/2/1987,260,1,0,0,Colonel,US Air Force (Retired)
100,Anthony W. England,5/15/1942,Indianapolis, IN,6,Male,Retired,1967,,,190,1,0,0,,
101,Joe H. Engle,8/26/1932,Dickinson, KS,5,Male,Retired,1966,,,224,2,0,0,Major General,US Air Force (Retired)
102,Jeanette J. Epps,11/3/1970,Syracuse, NY,20,Female,Active,2009,,,0,0,0,0,,
103,Ronald E. Evans Jr. ,11/10/1933,St. Francis, KS,5,Male,Deceased,1966,,4/6/1990,301,1,1,1,Captain,US Navy (Retired)
104,John M. Fabian,1/28/1939,Goosecreek, TX,8,Male,Retired,1978,,,316,2,0,0,Colonel,US Air Force (Retired)
105,Christopher J. Ferguson,9/1/1961,Philadelphia, PA,17,Male,Retired,1998,,,970,3,0,0,Captain,US Navy (Retired)
106,Martin J. Fettman,12/31/1956,Brooklyn, NY,,Male,Retired,,,,336,1,0,0,,
107,Andrew J. Feustel,8/25/1965,Lancaster, PA,18,Male,Active,2000,,,687,2,42,6,,
108,E. Michael Fincke,3/14/1967,Pittsburgh, PA,16,Male,Active,1996,,,9159,3,48,9,Colonel,US Air Force
109,Jack D. Fischer,1/23/1974,Louisville, CO,20,Male,Active,2009,,,0,0,0,0,,
110,Anna L. Fisher,8/24/1949,New York, NY,8,Female,Management,1978,,,191,1,0,0,,
111,William F. Fisher,4/1/1946,Dallas, TX,9,Male,Retired,1980,,,170,1,12,2,,
112,C. Michael Foale,1/6/1957,Louth, England,12,Male,Active,1987,,,8970,6,22,4,,
113,Kevin A. Ford,7/7/1960,Portland, IN,18,Male,Active,2000,,,3781,2,0,0,Colonel,US Air Force (Retired)
114,Michael J. Foreman,3/29/1957,Columbus, OH,17,Male,Management,1998,,,637,2,32,5,Captain,US Navy (Retired)
115,Patrick G. Forrester,3/31/1957,El Paso, TX,16,Male,Management,1996,,,950,3,25,4,Colonel,US Army (Retired)
116,Michael E. Fossum,12/19/1957,Sioux Falls, SD,17,Male,Active,1998,,,4651,3,48,7,,US Air Force Reserves (Retired)
117,Theodore C. Freeman,2/18/1930,Haversford, PA,3,Male,Deceased,1963,,10/31/1964,0,0,0,0,Captain,US Air Force
118,Stephen N. Frick,9/30/1961,Pittsburgh, PA,16,Male,Management,1996,,,566,2,0,0,Captain,US Navy (Retired)
119,C. Gordon Fullerton,10/11/1936,Rochester, NY,7,Male,Retired,1969,,,382,2,0,0,Colonel,US Air Force (Retired)
120,F. Andrew Gaffney,6/9/1946,Carlsbad, NM,,Male,Retired,,,,218,1,0,0,,
121,Ronald J. Garan Jr. ,10/20/1961,Yonkers, NY,18,Male,Management,2000,,,4271,2,27,4,Colonel,US Air Force (Retired)
122,Dale A. Gardner,11/8/1948,Fairmont, MN,8,Male,Retired,1978,,,336,2,12,2,Captain,US Navy (Retired)
123,Guy S. Gardner,1/6/1948,Alta Vista, VA,9,Male,Retired,1980,,,320,2,0,0,Colonel,US Air Force (Retired)
124,Jake Garn,10/12/1932,Richfield. UT,NA,,Male,Retired,,,,167,1,0,0,,
125,Owen K. Garriott,11/22/1930,Enid, OK,4,Male,Retired,1965,,,1674,2,14,3,,
126,Charles D. Gemar,8/4/1955,Yanktown, SD,11,Male,Retired,1985,,,581,3,0,0,Lieutenant Colonel,US Army
127,Michael L. Gernhardt,5/4/1956,Mansfield, OH,14,Male,Management,1992,,,1039,4,23,4,,
128,Edward G. Gibson,11/8/1936,Buffalo, NY,4,Male,Retired,1965,,,2017,1,15,3,,
129,Robert L. Gibson,10/30/1946,Cooperstown, NY,8,Male,Retired,1978,,,868,5,0,0,Captain,US Navy (Retired)
130,Edward G. Givens Jr. ,1/5/1930,Quanah, TX,5,Male,Deceased,1966,,6/6/1967,0,0,0,0,Major,US Air Force
131,John H. Glenn Jr. ,7/18/1921,Cambridge, OH,1,Male,Retired,1959,,,218,2,0,0,Colonel,US Marine Corps (Retired)
132,Linda M. Godwin,7/2/1952,Cape Girardeau, MO,11,Female,Retired,1985,,,918,4,10,2,,
133,Michael T. Good,10/13/1962,Parma, OH,18,Male,Management,2000,,,592,2,30,4,Colonel,US Air Force (Retired)
134,Richard F. Gordon Jr. ,10/5/1929,Seattle, WA,3,Male,Retired,1963,,,315,2,0.5,1,Captain,US Navy (Retired)
135,Dominic L. Gorie,5/2/1957,Lake Charles, LA,15,Male,Retired,1995,,,1167,4,0,0,Captain,US Navy (Retired)
136,Ronald J. Grabe,6/13/1945,New York, NY,9,Male,Retired,1980,,,627,4,0,0,Colonel,US Air Force (Retired)
137,Duane E. Graveline,3/2/1931,Newport, VT,4,Male,Retired,1965,,,0,0,0,0,,
138,Frederick D. Gregory,1/7/1941,Washington, DC,8,Male,Retired,1978,,,455,3,0,0,Colonel,US Air Force (Retired)
139,William G. Gregory,5/14/1957,Lockport, NY,13,Male,Retired,1990,,,399,1,0,0,Lieutenant Colonel,US Air Force
140,S. David Griggs,9/7/1939,Portland, OR,8,Male,Deceased,1978,,6/17/1989,167,1,3,1,,
141,Virgil I. Grissom,4/3/1926,Mitchell, IN,1,Male,Deceased,1959,Apollo 1,1/27/1967,5,2,0,0,Lieutenant Colonel,US Air Force
142,John M. Grunsfeld,10/10/1958,Chicago, IL,14,Male,Management,1992,,,1407,5,58,8,,
143,Sidney M. Gutierrez,6/27/1951,Albuquerque, NM,10,Male,Retired,1984,,,488,2,0,0,Colonel,US Air Force (Retired)
144,Fred W. Haise Jr. ,11/14/1933,Biloxi, MS,5,Male,Retired,1966,,,142,1,0,0,,
145,James D. Halsell Jr. ,9/29/1956,Monroe, LA,13,Male,Retired,1990,,,1258,5,0,0,Colonel,US Air Force (Retired)
146,Kenneth T. Ham,12/12/1964,Plainfield, NJ,17,Male,Retired,1998,,,612,2,0,0,Captain,US Navy
147,L. Blaine Hammond Jr. ,1/16/1952,Savannah, GA,10,Male,Retired,1984,,,462,2,0,0,Colonel,US Air Force (Retired)
148,Gregory J. Harbaugh,4/15/1956,Cleveland, OH,12,Male,Retired,1987,,,817,4,18,3,,
149,Bernard A. Harris Jr. ,6/26/1956,Temple, TX,13,Male,Retired,1990,,,438,2,5,1,,
150,Terry J. Hart,10/27/1946,Pittsburgh, PA,8,Male,Retired,1978,,,167,1,0,0,,
151,Henry W. Hartsfield Jr. ,11/21/1933,Birmingham, AL,7,Male,Retired,1969,,,482,3,0,0,Colonel,US Air Force (Retired)
152,Frederick H. Hauck,4/11/1941,Long Beach, CA,8,Male,Retired,1978,,,435,3,0,0,Captain,US Navy (Retired)
153,Steven A. Hawley,12/12/1951,Ottawa, KS,8,Male,Retired,1978,,,770,5,0,0,,
154,Susan J. Helms,2/26/1958,Charlotte, NC,13,Female,Retired,1990,,,5063,5,9,1,Lieutenant General,US Air Force
155,Karl G. Henize,10/17/1926,Cincinnati, OH,6,Male,Deceased,1967,,10/5/1993,190,1,0,0,,
156,Thomas J. Hennen,8/17/1952,Albany, GA,,Male,Retired,,,,166,1,0,0,Chief Warrant Officer,US Army (Retired)
157,Terence T. Henricks,7/5/1952,Bryan, OH,11,Male,Retired,1985,,,1026,4,0,0,Colonel,US Air Force (Retired)
158,Jose M. Hernandez,8/7/1962,French Camp, CA,19,Male,Retired,2004,,,332,1,0,0,,
159,John B. Herrington,9/14/1958,Wetumka, OK,16,Male,Retired,1996,,,330,1,20,3,Commander,US Navy (Retired)
160,Richard J. Hieb,9/21/1955,Jamestown, ND,11,Male,Retired,1985,,,766,3,18,3,,
161,Joan E. Higginbotham,8/3/1964,Chicago, IL,16,Female,Retired,1996,,,308,1,0,0,,
162,David C. Hilmers,1/28/1950,Clinton, IA,9,Male,Retired,1980,,,494,4,0,0,Colonel,US Marine Corps (Retired)
163,Kathryn P. Hire,8/26/1959,Mobile, AL,15,Female,Management,1995,,,711,2,0,0,Captain,US Naval Reserves
164,Charles O. Hobaugh,11/5/1961,Bar Harbor, ME,16,Male,Retired,1996,,,873,3,0,0,Colonel,US Marine Corps (Retired)
165,Jeffrey A. Hoffman,11/2/1944,Brooklyn, NY,8,Male,Retired,1978,,,1211,5,25,4,,
166,Donald L. Holmquest,4/7/1939,Dallas, TX,6,Male,Retired,1967,,,0,0,0,0,,
167,Michael S. Hopkins,12/28/1968,Lebanon, MO,20,Male,Active,2009,,,3990,1,13,2,Colonel,US Air Force
168,Scott J. Horowitz,3/24/1957,Philadelphia, PA,14,Male,Retired,1992,,,1137,4,0,0,Colonel,US Air Force (Retired)
169,Millie Hughes-Fulford,12/21/1945,Mineral Wells, TX,,Female,Retired,,,,218,1,0,0,,
170,Douglas G. Hurley,10/21/1966,Endicott, NY,18,Male,Active,2000,,,683,2,0,0,Colonel,US Marine Corps
171,Rick D. Husband,7/12/1957,Amarillo, TX,15,Male,Deceased,1995,STS-107 (Columbia),2/1/2003,617,2,0,0,Colonel,US Air Force
172,James B. Irwin,3/17/1930,Pittsburgh, PA,5,Male,Deceased,1966,,8/8/1991,295,1,20,3,Colonel,US Air Force (Retired)
173,Marsha S. Ivins,4/15/1951,Baltimore, MD,10,Female,Retired,1984,,,1341,5,0,0,,
174,Gregory B. Jarvis,8/24/1944,Detroit, MI,,Male,Deceased,,STS 51-L (Challenger),1/28/1986,0,1,0,0,,
175,Mae C. Jemison,10/17/1956,Decatur, AL,12,Female,Retired,1987,,,190,1,0,0,,
176,Tamara E. Jernigan,5/7/1959,Chattanooga, TN,11,Female,Retired,1985,,,1489,5,8,1,,
